Rk;Player;Pos;Age;Tm;PTS;TRB;AST;BLK;STL
1;Precious Achiuwa;C;23;TOR;9.2;6;0.9;0.5;0.6
2;Steven Adams;C;29;MEM;8.6;11.5;2.3;1.1;0.9
3;Bam Adebayo;C;25;MIA;20.4;9.2;3.2;0.8;1.2
4;Ochai Agbaji;SG;22;UTA;7.9;2.1;1.1;0.3;0.3
5;Santi Aldama;PF;22;MEM;9;4.8;1.3;0.6;0.6
6;Nickeil Alexander-Walker;SG;24;TOT;6.2;1.7;1.8;0.4;0.5
6;Nickeil Alexander-Walker;SG;24;UTA;6.3;1.6;2.1;0.4;0.7
6;Nickeil Alexander-Walker;SG;24;MIN;5.9;1.8;1.4;0.3;0.3
7;Grayson Allen;SG;27;MIL;10.4;3.3;2.3;0.2;0.9
8;Jarrett Allen;C;24;CLE;14.3;9.8;1.7;1.2;0.8
9;Jose Alvarado;PG;24;NOP;9;2.3;3;0.2;1.1
10;Kyle Anderson;PF;29;MIN;9.4;5.3;4.9;0.9;1.1
11;Giannis Antetokounmpo;PF;28;MIL;31.1;11.8;5.7;0.8;0.8
12;Thanasis Antetokounmpo;SF;30;MIL;1.4;1.2;0.4;0.1;0.1
13;Cole Anthony;PG;22;ORL;13;4.8;3.9;0.5;0.6
14;OG Anunoby;SF;25;TOR;16.8;5;2;0.7;1.9
15;Ryan Arcidiacono;PG;28;TOT;1.3;0.8;1.2;0;0.3
15;Ryan Arcidiacono;PG;28;NYK;0.3;0.4;0.2;0;0.2
15;Ryan Arcidiacono;PG;28;POR;2.6;1.2;2.3;0;0.3
16;Deni Avdija;SF;22;WAS;9.2;6.4;2.8;0.4;0.9
17;Deandre Ayton;C;24;PHO;18;10;1.7;0.8;0.6
18;Udoka Azubuike;C;23;UTA;3.5;3.3;0.3;0.4;0.2
19;Marvin Bagley III;C;23;DET;12;6.4;0.9;0.7;0.5
20;Patrick Baldwin Jr.;SF;20;GSW;3.9;1.3;0.4;0.1;0.2
21;LaMelo Ball;PG;21;CHO;23.3;6.4;8.4;0.3;1.3
22;Mo Bamba;C;24;TOT;6.6;4.6;0.9;0.9;0.3
22;Mo Bamba;C;24;ORL;7.3;4.6;1.1;1;0.3
22;Mo Bamba;C;24;LAL;3.7;4.6;0.4;0.6;0.1
23;Paolo Banchero;PF;20;ORL;20;6.9;3.7;0.5;0.8
24;Desmond Bane;SG;24;MEM;21.5;5;4.4;0.4;1
25;Dalano Banton;PG;23;TOR;4.6;1.5;1.2;0.4;0.4
26;Dominick Barlow;SF;19;SAS;3.9;3.6;0.9;0.7;0.4
27;Harrison Barnes;PF;30;SAC;15;4.5;1.6;0.1;0.7
28;Scottie Barnes;PF;21;TOR;15.3;6.6;4.8;0.8;1.1
29;RJ Barrett;SG;22;NYK;19.6;5;2.8;0.2;0.4
30;Will Barton;SG;32;TOT;6.8;2.4;2;0.2;0.5
30;Will Barton;SG;32;WAS;7.7;2.8;2.4;0.3;0.4
30;Will Barton;SG;32;TOR;4.5;1.6;1.1;0.2;0.7
31;Charles Bassey;C;22;SAS;5.7;5.5;1.3;0.9;0.5
32;Keita Bates-Diop;SF;27;SAS;9.7;3.7;1.5;0.3;0.7
33;Nicolas Batum;PF;34;LAC;6.1;3.8;1.6;0.6;0.7
34;Darius Bazley;PF;22;TOT;5.2;3.2;0.9;0.8;0.5
34;Darius Bazley;PF;22;OKC;5.4;3.4;0.9;0.8;0.5
34;Darius Bazley;PF;22;PHO;4;2.3;0.9;0.7;0.4
